gene,cell_type,log2fc,pval,padj
SPTBN1,TRAM-3,0.538863511223992,0.790256329285627,0.960451064784517
BCL11A,TRAM-3,0.9301476579430854,0.6347967607863386,0.960451064784517
CLEC4F,TRAM-3,1.4573483041368083,0.6460969787697499,0.960451064784517
CD207,TRAM-3,2.0057136511943936,0.516925562663427,0.960451064784517
MTHFD2,TRAM-3,1.9793458404554087,0.2031644278491489,0.960451064784517
WDR54,TRAM-3,1.7060172324948844,0.29599468339008594,0.960451064784517
TRABD2A,TRAM-3,3.2139335487213696,0.12779474959552814,0.960451064784517
AC022210.2,TRAM-3,2.265894059973034,0.4345866536064539,0.960451064784517
VAMP5,TRAM-3,2.703081390554493,0.11058090876481227,0.960451064784517
SFTPB,TRAM-3,3.872906914145858,0.19693327461592058,0.960451064784517
GNLY,TRAM-3,1.093416067171016,0.7258506812434353,0.960451064784517
CD8A,TRAM-3,2.562525111601401,0.4881453256453575,0.960451064784517
CD8B,TRAM-3,2.1373300290661965,0.78845260920645,0.960451064784517
LINC01943,TRAM-3,-0.17811678389329844,1.0,1.0
CYTOR,TRAM-3,1.4481400823140098,0.2961636356905587,0.960451064784517
AC133644.2,TRAM-3,1.182591413278473,0.645909928361869,0.960451064784517
EIF2AK3-DT,TRAM-3,0.6126832582796061,0.832368199837861,0.960451064784517
IGKC,TRAM-3,2.712718047919529,0.5182807016902278,0.960451064784517
IGKV4-1,TRAM-3,0.8428990389152711,0.8489542185262681,0.960451064784517
IGKV1-5,TRAM-3,-0.8969065070358966,0.013801359565271946,0.960451064784517
IGKV1-9,TRAM-3,-2.584962500721156,3.32503465648038e-08,2.8006291906583316e-05
IGKV3-11,TRAM-3,1.6880559936852595,0.7495756086080859,0.960451064784517
IGKV3-15,TRAM-3,0.5618788876081148,0.8489542185262681,0.960451064784517
IGKV1-17,TRAM-3,0.39775950784700825,0.8489359988805478,0.960451064784517
IGKV3-20,TRAM-3,0.7092206036833019,0.7494383054591964,0.960451064784517
